Número control Encuesta;Zona/ Barrio del Estableciminto;Lugar realización encuesta;Departamento;Tipo: H o R;Nombre hot/rest;Tamaño;Sexo;Edad;Es jefe de hogar;Personas que dependen;Cuántos aportan al hog;Lugar nacimiento código;Otro país. Especificar;Año llegó Uruguay última vez;Nivel educ formal;Asiste ed formal;Nombre centro ed;Alguno de los estudios que;Especifique si es otro;Realizó cursos rel con cargo;Han sido pagados por;Especifique quien pagó;Total horas de cursos;Tiene otro trabajo;Sector del otro trab;Especifique sin no es turismo;Tipo contrato;Término del contrato;Especifique meses/u otro término;Contrato por empresa para la que hace tarea;Está en caja;Aporta por 100% salario;Si no en caja: goza benef;Tipo horario;Especifique tipo horario;Criterio día libre;Horas que trabaja en la semana;Razón empleo es parcial;Especifique razón;Trabaja todos meses del año;Cual es el motivo prinicpal por el que no trabaja todos los;Otro motivo. Especificar;En este empleo pertenece a un sindicato;Conoce usted los beneficios de la neg colect;Codigo Sección o depto trabaja;Nombre secciòn o depto donde trabaja;Codigo puesto/cargo de contrato;Nombre puesto/cargo de contrato;Otro Especificar ;Realiza tareas diferentes puestos;Antigüedad AÑOS;Además del tiempo que lleva en esta;Años;Si no tiene experiencia..Ramo de donde proviene;Especificar ramo;Cuál es la Principal razón trabaja en rubro;Especifique razón estar en rubro;Salario mensual sin propina;Rango sal mens sin propina;Cuánto gana hora/día;Propina mes/temp alta;Propina mes/temp baja;No cobra propina;Estoy activamente buscando otras;El año que viene voy a  buscar otro trabajo;Voy a cambiar de trabajo a primera oportunidad;Tengo la intención de renunciar;Motivo principal por el que está buscando;Otro. Especificar;Me sentiría culpable;Siento una responsabilidad;Si tuviera una oferta;Creo que no podría;Aunque fuera ventajoso;Esta empresa se merece;Sería muy feliz si;Realmente siento los;Esta empresa significa;En esta empresa me;Siento amor por mi empresa;Me gusta la tarea que ;Estoy satisfecho con las posibilidades;Estoy satisfecho con mi trabajo;Mi salario me satisface;Estoy satisfecho con cantidad de horas;Limpieza, iluminación ventilación;El entorno físico y el espacio;Los medios materiales que tengo;En mi empresa tengo satisfactorias oportunidades;Estoy satisfecho con la formación;La forma en que se lleva a cabo la negociación;La supervisión que ejercen sobre mí;Estoy satisfecho de cómo mi empresa cumple el convenio;Estoy satisfecho con la estabilidad;Estoy satisfecho con el grado de participación;Me gusta la forma en que mis superiores juzgan;Me satisface mi capacidad actual;Mi empresa me trata con buena jusicia;Estoy contento con el apoyo;Me satisface mi actual grado;Estoy satisfecho con las relaciones;Estoy satisfecho con los incentivos;Estoy contento con el nivel;Estoy satisfecho con mi jornada;Estoy satisfecho con las normas de seguridad;En resumen
11;PRADO;TRABAJO;1;2;Don AndrÃ©s;25;2;24;1;0;0;1;99;99;3;2;99;7;NULL;1;3;99;99;2;99;99;2;1;99;1;1;1;99;5;NULL;1;50;NULL;NULL;1;99;NULL;2;2;8;Contabilidad y finanzas - apoyo;8.2.;Cajero       ;;5;2;1;0;99;NULL;1;99;NULL;5;NULL;450;250;NULL;1;1;1;1;NULL;99;4;5;4;2;4;4;4;4;5;4;5;1;1;1;1;0;1;1;1;1;1;NULL;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1
12;CENTRO ;TRABAJO;2;2;Macachin ;7;2;48;2;0;0;1;99;99;6;2;99;NULL;NULL;1;6;99;600;1;2;Estudio Notarial;1;7;NULL;1;1;3;99;6;Noche fines de semana y feriados;1;30;3;99;2;2;99;2;2;22;Alimentos y bebidas/ Sala-Restaurantes;22.1.;Anfitrión de restaurantes     ;;5;5;1;1;99;NULL;1;99;10000;11;300;NULL;NULL;99;1;1;1;1;NULL;99;5;5;5;5;5;5;4;5;5;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
13;CORDON ;TRABAJO;1;2;OPB;40;2;26;1;0;1;1;99;2018;4;2;99;7;NULL;2;99;99;99;2;99;99;1;1;99;1;1;2;99;3;NULL;1;30;4;Por ganas;1;99;NULL;2;2;22;Alimentos y bebidas/ Sala-Restaurantes;22.2.;Mozo       ;;6;1;1;2;99;NULL;4;Por dinero;NULL;4;NULL;NULL;2000;NULL;1;1;2;2;NULL;99;2;2;2;2;2;5;2;2;3;2;2;1;0;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
14;PUNTA CARRETAS;TRABAJO;4;1;Sheraton;104;2;43;1;0;0;1;99;99;4;2;99;7;NULL;2;99;99;99;2;99;99;2;1;99;1;1;1;99;3;NULL;1;40;NULL;NULL;1;99;NULL;2;2;12;Habitaciones Recepción;12.2.;Recepcionista       ;;1;6;1;2;99;NULL;2;99;25500;11;NULL;5000;1000;NULL;1;1;1;1;NULL;99;5;5;5;5;5;5;5;5;5;5;5;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
15;CIUDAD VIEJA;TRABAJO;1;2;La Corte;35;2;30;1;1;0;2;Venezuela;2018;8;2;99;7;NULL;2;99;99;99;2;99;99;2;1;99;1;1;1;99;2;NULL;1;42;2;99;1;99;NULL;2;2;22;Alimentos y bebidas/ Sala-Restaurantes;22.2.;Mozo       ;;1;1;1;1;99;NULL;2;99;15000;11;NULL;NULL;NULL;99;4;4;3;2;6;99;1;4;4;2;5;4;2;2;5;4;2;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1
16;CIUDAD VIEJA;TRABAJO;1;2;La Corte;65;1;28;1;0;0;1;99;99;7;2;99;7;NULL;2;99;99;99;1;1;99;2;1;99;1;1;1;99;2;NULL;1;35;3;99;1;99;NULL;2;2;22;Alimentos y bebidas/ Sala-Restaurantes;22.2.;Mozo       ;;1;1;1;7;99;NULL;1;99;NULL;2;NULL;8000;8000;NULL;1;1;1;1;NULL;99;1;4;2;1;1;5;3;2;3;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
17;CIUDAD VIEJA;TRABAJO;1;2;La Petite Cuisine;11;2;21;2;0;2;1;99;99;9;1;Facultad de Ciencias EconÃ_micas;7;NULL;1;3;99;10;2;99;99;2;3;3;1;2;99;8;2;NULL;1;30;3;99;2;5;Estudio;2;1;12;Habitaciones Recepción;12.2.;Recepcionista       ;;3;1;1;2;99;NULL;3;99;NULL;1;NULL;NULL;NULL;99;2;3;2;1;10;ser zafral;4;4;3;1;4;3;1;3;3;3;3;1;1;1;1;1;1;1;1;0;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1
18;CIUDAD VIEJA;TRABAJO;1;2;Toledo Bar de Tapas;12;1;28;2;0;3;1;99;99;5;2;99;7;NULL;2;99;99;99;2;99;99;2;1;99;1;1;3;99;2;NULL;1;44;NULL;NULL;1;99;NULL;2;2;22;Alimentos y bebidas/ Sala-Restaurantes;22.2.;Mozo       ;;1;3;1;5;99;NULL;3;99;NULL;6;NULL;NULL;NULL;99;2;3;3;2;3;99;3;4;2;2;3;4;3;3;3;4;4;1;1;0;0;0;1;1;1;0;0;1;1;1;1;1;0;0;1;0;0;1;0;1;1;1;1
19;INSTITUTO CAPACITACION ;INSTITUTO CAPACITACIÓN ;1;2;Parque Vacaciones;70;1;24;1;0;0;1;99;99;3;1;Aula;7;NULL;1;4;99;290;1;2;Eventos;2;8;NULL;2;1;1;99;2;NULL;1;48;NULL;NULL;1;99;NULL;1;1;23;Alimentos y bebidas/ Banquetes y Eventos;23.3.;Mozo       ;;4;3;1;2;99;NULL;1;99;20000;4;NULL;NULL;NULL;99;1;4;3;4;3;99;1;1;1;1;1;1;1;4;1;1;1;1;1;0;0;1;1;1;1;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;1;1;0
20;CIUDAD VIEJA;TRABAJO;1;2;Coquinario;30;2;24;1;0;1;2;Cuba;2015;6;2;99;7;NULL;1;3;99;300;2;99;99;2;1;99;1;1;1;99;2;NULL;1;35;4;NULL;1;99;NULL;2;2;22;Alimentos y bebidas/ Sala-Restaurantes;22.2.;Mozo       ;;1;1;1;5;99;NULL;1;99;NULL;2;NULL;6000;NULL;NULL;1;2;1;1;1;99;1;4;3;1;3;3;3;3;3;3;3;1;1;1;0;1;1;1;0;0;0;;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1
