Número control Encuesta;Zona/ Barrio del Estableciminto;Lugar realización encuesta;Departamento;Tipo: H o R;Nombre hot/rest;Tamaño;Sexo;Edad;Es jefe de hogar;Personas que dependen;Cuántos aportan al hog;Lugar nacimiento código;Otro país. Especificar;Año llegó Uruguay última vez;Nivel educ formal;Asiste ed formal;Nombre centro ed;Alguno de los estudios que;Especifique si es otro;Realizó cursos rel con cargo;Han sido pagados por;Especifique quien pagó;Total horas de cursos;Tiene otro trabajo;Sector del otro trab;Especifique sin no es turismo;Tipo contrato;Término del contrato;Especifique meses/u otro término;Contrato por empresa para la que hace tarea;Está en caja;Aporta por 100% salario;Si no en caja: goza benef;Tipo horario;Especifique tipo horario;Criterio día libre;Horas que trabaja en la semana;Razón empleo es parcial;Especifique razón;Trabaja todos meses del año;Cual es el motivo prinicpal por el que no trabaja todos los;Otro motivo. Especificar;En este empleo pertenece a un sindicato;Conoce usted los beneficios de la neg colect;Codigo Sección o depto trabaja;Nombre secciòn o depto donde trabaja;Codigo puesto/cargo de contrato;Nombre puesto/cargo de contrato;Otro Especificar ;Realiza tareas diferentes puestos;Antigüedad AÑOS;Además del tiempo que lleva en esta;Años;Si no tiene experiencia..Ramo de donde proviene;Especificar ramo;Cuál es la Principal razón trabaja en rubro;Especifique razón estar en rubro;Salario mensual sin propina;Rango sal mens sin propina;Cuánto gana hora/día;Propina mes/temp alta;Propina mes/temp baja;No cobra propina;Estoy activamente buscando otras;El año que viene voy a  buscar otro trabajo;Voy a cambiar de trabajo a primera oportunidad;Tengo la intención de renunciar;Motivo principal por el que está buscando;Otro. Especificar;Me sentiría culpable;Siento una responsabilidad;Si tuviera una oferta;Creo que no podría;Aunque fuera ventajoso;Esta empresa se merece;Sería muy feliz si;Realmente siento los;Esta empresa significa;En esta empresa me;Siento amor por mi empresa;Me gusta la tarea que ;Estoy satisfecho con las posibilidades;Estoy satisfecho con mi trabajo;Mi salario me satisface;Estoy satisfecho con cantidad de horas;Limpieza, iluminación ventilación;El entorno físico y el espacio;Los medios materiales que tengo;En mi empresa tengo satisfactorias oportunidades;Estoy satisfecho con la formación;La forma en que se lleva a cabo la negociación;La supervisión que ejercen sobre mí;Estoy satisfecho de cómo mi empresa cumple el convenio;Estoy satisfecho con la estabilidad;Estoy satisfecho con el grado de participación;Me gusta la forma en que mis superiores juzgan;Me satisface mi capacidad actual;Mi empresa me trata con buena jusicia;Estoy contento con el apoyo;Me satisface mi actual grado;Estoy satisfecho con las relaciones;Estoy satisfecho con los incentivos;Estoy contento con el nivel;Estoy satisfecho con mi jornada;Estoy satisfecho con las normas de seguridad;En resumen
G_59;CORDON ;TRABAJO;1;2;OPB;40;2;26;1;0;1;1;99;2018;4;2;99;7;NULL;2;99;99;99;2;99;99;1;1;99;1;1;2;99;4;NULL;1;30;4;por ganas;1;99;NULL;2;2;22;Alimentos y bebidas/ Sala-Restaurantes;22.2.;Mozo       ;;1;1;NULL;NULL;NULL;NULL;4;Por dinero;NULL;4;NULL;2000;2000;NULL;1;1;2;2;NULL;99;2;2;2;2;2;5;2;2;3;2;2;1;0;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
G_60;EMPRESA EVENTOS ;INSTITUTO CAPACITACIÓN ;1;2;Lirium;NULL;1;36;1;2;0;1;99;99;3;1;Aula Uruguay;7;NULL;2;99;99;99;2;99;99;1;1;99;1;1;1;99;4;NULL;2;0;2;99;1;99;NULL;2;1;21;Alimentos y bebidas/ Sala-Restaurantes;21.2.;Mozo SH      ;;5;NULL;NULL;NULL;NULL;NULL;3;99;NULL;11;NULL;99;99;NULL;4;NULL;NULL;NULL;NULL;99;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;0;1;1;1;1;0;1;0;1;1;1;1
105;CIUDAD VIEJA;TRABAJO;1;1;NH COLUMBIA;136;2;29;1;1;0;2;ARGENTINA;2011;7;2;99;2;NULL;2;99;99;99;2;99;99;2;1;99;1;1;1;99;4;NULL;2;44;99;99;1;99;NULL;2;2;12;Habitaciones Recepción;12.2.;Recepcionista       ;;1;0.1;1;0.4;99;NULL;4;RUBRO AMPLIO EN OPORTUNIDADES;NULL;6;NULL;NULL;NULL;99;1;3;3;1;10;HORARIOS;3;4;2;2;2;5;4;5;5;4;5;1;1;1;0;1;1;1;1;1;1;NULL;1;;1;1;1;1;1;1;1;1;0;1;1;1;1
106;PUNTA CARRETAS;TRABAJO;1;1;ESPLENDOR;247;2;36;1;0;0;1;99;99;3;2;99;7;NULL;1;2;99;24;2;99;99;2;1;99;1;1;1;99;5;NULL;1;44;99;99;1;99;NULL;2;1;17;Habitaciones Ama de llaves;17.2.;Mucama       ;;4;2;1;12;99;NULL;1;99;NULL;4;NULL;1200;800;NULL;1;1;1;1;NULL;99;4;5;2;2;3;2;2;5;5;5;4;1;1;1;0;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
107;PUNTA CARRETAS;TRABAJO;1;1;ESPLENDOR;247;2;30;1;1;0;1;99;99;8;2;99;4;NULL;1;6;UTU;24;1;2;YOGA;2;1;99;1;1;1;99;5;NULL;1;48;99;99;1;99;NULL;2;1;12;Habitaciones Recepción;12.6.;Jefe de recepción     ;;23;1;1;3;99;NULL;1;99;NULL;8;NULL;21000;12000;NULL;1;3;1;2;7;99;5;4;1;3;1;5;4;4;5;3;4;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1
108;CARRASCO;TRABAJO;1;1;COTTAGE;69;2;33;1;0;0;1;99;99;4;2;99;NULL;NULL;1;1;99;6;2;99;99;2;1;99;1;1;1;99;2;NULL;1;44;99;99;1;99;NULL;2;1;23;Alimentos y bebidas/ Banquetes y Eventos;23.5.;Supervisor de banquete     ;;5;2;1;5;99;NULL;1;99;26000;NULL;NULL;5000;NULL;NULL;1;1;1;1;NULL;99;4;5;4;4;5;5;3;4;5;5;4;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1
109;CARRASCO;TRABAJO;1;1;COTTAGE;69;2;21;2;0;2;1;99;99;4;1;NULL;1;99;1;6;GRATUITOS;240;2;99;99;2;1;99;1;1;1;99;2;NULL;1;44;99;99;1;99;NULL;2;1;23;Alimentos y bebidas/ Banquetes y Eventos;23.3.;Mozo       ;;5;3;1;1;99;NULL;1;99;22344;NULL;NULL;4000;1500;NULL;3;4;2;3;23;99;3;4;1;3;1;3;1;3;4;4;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;1;1;0;0;1;1;1;1;1;1;1
110;CARRASCO;TRABAJO;1;1;COTTAGE;69;1;37;1;2;2;1;99;2006;7;1;UDE ;6;CODICEN;1;3;99;48;2;99;99;2;1;99;1;1;1;99;4;NULL;1;48;99;99;1;99;NULL;2;2;12;Habitaciones Recepción;12.5.;Supervisor / coordinador de recepción   ;;1;3;1;3;99;NULL;4;POR ESTUDIOS;NULL;6;NULL;3000;3000;NULL;3;3;1;3;5;99;2;3;4;4;4;4;1;1;2;3;3;1;1;1;0;1;1;1;1;1;1;;1;;1;1;1;1;1;1;1;1;1;1;1;1;1
111;CIUDAD VIEJA ;TRABAJO;1;1;NH COLUMBIA;136;2;37;1;0;0;1;99;99;2;2;99;6;MAPA COCINA;2;99;99;99;2;99;99;2;1;99;1;1;1;99;3;NULL;2;44;99;99;1;99;NULL;2;1;20;Alimentos y bebidas/ Cocina;20.2.;Ayudante de cocina     ;;5;0.2;1;13;99;NULL;1;99;21490;NULL;NULL;300;NULL;NULL;1;1;1;1;NULL;99;3;1;1;1;5;5;3;2;5;5;5;1;1;1;0;1;0;1;1;0;0;;0;;1;0;1;1;1;1;1;1;1;1;1;0;1
112;CIUDAD VIEJA;TRABAJO;1;1;NH COLUMBIA;136;2;23;2;0;3;1;99;99;8;1;FCCEE;7;NULL;1;1;99;12;2;99;99;1;1;99;1;1;1;99;2;NULL;1;44;99;99;1;99;NULL;2;1;8;Contabilidad y finanzas - apoyo;8.1.;Asistente Contabilidad y finanzas    ;;1;0.1;2;99;2;OFICINA PUBLICA;NULL;NULL;40000;NULL;NULL;NULL;NULL;99;1;3;1;1;5;99;4;4;3;2;3;4;2;4;4;3;4;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
113;POCITOS;TRABAJO;1;1;POCITOS PLAZA;50;1;43;2;2;2;1;99;99;6;2;99;6;TECNICO TURISMO ITHU;2;99;99;99;1;1;99;2;1;99;1;1;1;99;2;NULL;1;44;99;99;1;99;NULL;1;2;12;Habitaciones Recepción;12.2.;Recepcionista       ;;5;5;2;99;NULL;NULL;1;99;NULL;6;NULL;NULL;NULL;99;1;1;3;1;2;99;3;4;3;3;3;3;3;4;4;4;3;1;0;1;0;1;1;1;1;0;0;;0;;1;0;0;1;0;0;1;1;NULL;1;1;0;1
114;CENTRO;TRABAJO;1;1;MERCURE;41;2;32;1;1;2;1;99;99;6;2;99;1;NULL;1;3;99;12;2;99;99;2;1;99;1;1;1;99;2;NULL;1;42;NULL;NULL;1;99;NULL;2;1;22;Alimentos y bebidas/ Sala-Restaurantes;22.7.;Jefe de alimentos & bebidas   ;;5;0.1;2;99;1;NULL;1;99;40000;NULL;NULL;NULL;NULL;99;1;1;1;1;NULL;99;5;5;5;2;1;4;4;4;5;5;4;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
115;PUNTA CARRETAS;TRABAJO;1;1;BIT DESIGN ;48;2;25;2;0;1;1;99;99;7;1;CJNDE;1;NULL;1;13;99;12;1;2;DOCENCIA;1;1;99;1;1;1;99;4;NULL;1;48;99;99;1;99;NULL;2;2;12;Habitaciones Recepción;12.6.;Jefe de recepción     ;;5;5;2;99;2;NULL;4;HOBBY;42000;NULL;NULL;5000;5000;NULL;4;4;3;3;10;ESTUDIO OTRA COSA;4;3;4;3;4;3;1;5;5;5;5;1;1;1;1;1;1;1;1;1;0;;1;;1;1;1;1;0;0;1;1;1;1;1;0;1
116;CENTRO;TRABAJO;1;1;HISPANO HOTEL;39;2;36;2;2;1;2;CUBA;NULL;8;2;99;6;GASTRNOMIA;2;99;99;99;2;99;99;2;1;99;1;1;1;99;2;NULL;1;48;99;99;1;99;NULL;2;2;17;Habitaciones Ama de llaves;17.2.;Mucama       ;;2;1;1;NULL;99;NULL;1;99;19000;NULL;NULL;NULL;NUKK;99;1;3;2;1;8;99;4;4;4;3;5;5;4;4;4;4;5;1;1;1;1;1;1;1;1;0;0;0;1;1;0;0;1;0;1;1;1;1;1;1;1;1;1
117;CENTRO;TRABAJO;1;1;HISPANO HOTEL;39;2;25;2;3;1;2;CUBA;2018;6;1;NULL;7;NULL;2;99;99;99;2;99;99;2;1;99;1;1;3;99;3;NULL;1;48;99;99;1;99;NULL;2;1;17;Habitaciones Ama de llaves;17.2.;Mucama       ;;1;0.1;2;99;3;NULL;1;99;19000;NULL;NULL;NULL;NULL;99;1;1;1;1;NULL;99;5;1;3;1;1;3;5;5;5;3;5;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1
118;PUNTA CARRETAS;TRABAJO;1;1;ESPLENDOR;241;1;24;2;0;2;1;99;99;6;NULL;NULL;1;GASTRONOMIA UTU;1;13;99;10;2;99;99;2;1;99;1;1;1;99;2;NULL;1;48;99;99;1;99;NULL;2;99;17;Habitaciones Ama de llaves;17.2.;Mucama       ;;3;2;1;3;99;NULL;4;DESTINO;NULL;3;NULL;4500;3000;NULL;1;2;2;1;NULL;99;2;3;1;3;2;3;3;3;3;3;3;1;1;1;0;1;1;1;0;0;0;NULL;1;;1;1;0;1;0;1;1;1;0;1;1;1;1
119;PUNTA CARRETAS;TRABAJO;1;1;ESPLENDOR;241;1;36;1;1;1;1;99;2006;7;1;FCS  UdelaR;1;NULL;1;23;99;20;2;99;99;2;1;99;1;1;1;99;2;NULL;1;40;NULL;NULL;1;99;NULL;2;99;5;Gerencia general - apoyo;5.1.;Secretaría de Gerencia general    ;;1;1;1;10;99;NULL;1;99;NULL;10;NULL;NULL;NULL;99;1;1;1;1;NULL;99;5;5;3;1;1;4;4;3;4;3;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
120;CENTRO;TRABAJO;1;1;MERCURE;41;2;22;2;0;4;1;99;NULL;7;1;UdelaR;6;MARKETING;1;1;99;50;2;99;99;2;1;99;1;1;1;99;2;NULL;1;30;NULL;NULL;1;99;NULL;2;2;8;Contabilidad y finanzas - apoyo;8.1.;Asistente Contabilidad y finanzas    ;;1;0.1;1;1;99;NULL;NULL;NULL;NULL;6;NULL;NULL;NULL;NULL;1;3;3;1;NULL;99;4;4;4;3;3;5;3;4;3;4;3;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
121;CARRASCO;TRABAJO;1;1;COTTAGE;69;1;37;1;3;1;2;ARGENTINA;1990;8;2;99;6;ITHU HOTELERIA;1;1;99;180;2;99;99;2;1;99;1;1;1;99;2;NULL;1;48;99;99;1;99;NULL;2;1;5;Gerencia general - apoyo;5.1.;Secretaría de Gerencia general    ;;5;6;2;99;2;NULL;1;99;70000;NULL;2300;NULL;NULL;99;1;1;1;1;NULL;99;1;5;1;1;1;4;4;4;4;5;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
122;PUNTA  CARRETAS ;TRABAJO;1;1;BIT DESIGN ;48;2;30;2;0;0;1;99;99;8;1;UdelaR;NULL;NULL;1;3;99;20;2;99;99;2;1;99;1;1;1;99;NULL;NULL;1;44;99;99;NULL;NULL;NULL;2;99;8;Contabilidad y finanzas - apoyo;8.4.;Auditor interno      ;;1;6;1;5;99;NULL;3;99;NULL;9;NULL;NULL;NULL;99;1;3;1;1;3;99;5;5;1;4;1;3;5;5;5;5;5;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
123;PUNTA CARRETAS;TRABAJO;1;1;CALA DI VOLPE;72;1;32;1;0;0;1;99;NULL;8;1;COLEGIO DE CONTADORES;7;NULL;1;3;99;8;1;2;NULL;2;4;NULL;1;1;1;99;2;1;1;45;99;99;1;99;NULL;2;NULL;8;Contabilidad y finanzas - apoyo;8.5.;Jefe de Contabilidad y Finanzas   ;;2;3;2;99;2;NULL;4;SURGIO;48000;NULL;NULL;300;300;NULL;3;3;2;2;26;99;5;3;1;2;1;3;1;3;2;4;1;1;1;1;0;0;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;0;1;0;1;1
124;BARRIO HISTORICO;TRABAJO;4;1;las terrazas posada;14;2;50;1;0;0;1;99; ;4;2;99;7;NULL;1;2;99;100;1;2;Servicio domestico;2;1;99;1;1;1;99;2;NULL;1;44;99;99;1;99;NULL;2;2;17;Habitaciones Ama de llaves;17.5.;Gobernanta-Jefe de ama de llaves   ;;1;8;1;22;99;NULL;1;99;NULL;7;NULL;NULL;NULL;99;1;1;1;1;NULL;99;5;3;5;5;5;5;5;5;5;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
125;BARRIO HISTORICO;TRABAJO;4;1;las terrazas posada;14;2;27;1;0;0;1;99; ;3;2;99;1;NULL;2;99;99;99;2;99;99;2;1;99;1;1;1;99;2;NULL;1;44;99;99;1;99;NULL;2;2;12;Habitaciones Recepción;12.2.;Recepcionista       ;;1;5;1;3;99;NULL;1;99;NULL;5;NULL;NULL;NULL;99;1;2;2;1;NULL;99;1;1;1;1;1;4;2;1;4;4;4;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
126;BARRIO HISTORICO;TRABAJO;4;1;HOTEL ESPAÑOL;18;2;57;1;2;1;2;ARGENTINA;1996;3;2;99;7;NULL;2;99;99;99;2;99;99;2;1;99;1;1;1;99;5;NULL;1;44;99;99;1;99;NULL;2;2;12;Habitaciones Recepción;12.2.;Recepcionista       ;;1;1;1;9;99;NULL;3;99;NULL;5;NULL;NULL;NULL;99;1;1;1;1;NULL;99;1;5;1;1;1;5;5;5;5;5;5;1;1;1;1;1;0;1;1;0;0;99;1;99;1;1;1;0;1;1;1;1;0;1;1;1;1
127;BARRIO HISTORICO;TRABAJO;4;1;HOTEL RIVERA;19;2;46;1;3;1;1;99; ;3;2;99;7;NULL;2;99;99;99;2;99;99;2;1;99;1;1;1;99;2;NULL;1;44;99;99;1;99;NULL;2;1;17;Habitaciones Ama de llaves;17.2.;Mucama       ;;1;3;2;99;2;NINERA;2;99;NULL;4;NULL;NULL;NULL;99;4;4;3;2;7;99;1;1;1;1;1;1;1;1;1;5;1;1;0;0;0;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
128;BARRIO HISTORICO;TRABAJO;4;1;HOTEL PERLA DEL PLATA;19;2;25;2;0;1;1;99; ;3;1;LICEO;7;NULL;1;3;99;24;2;99;99;2;1;99;1;1;1;99;4;NULL;1;44;99;99;1;99;NULL;2;2;12;Habitaciones Recepción;12.2.;Recepcionista       ;;5;1;2;99;2;ATENCION AL PUBLICO;1;99;NULL;2;NULL;NULL;NULL;99;1;1;1;1;NULL;99;4;5;4;4;2;5;5;1;5;2;1;1;1;1;1;1;1;1;1;1;1;99;1;99;1;1;1;1;1;1;1;1;1;1;1;1;1
129;BARRIO HISTORICO;TRABAJO;4;1;POSADA DEL ANGEL;11;2;45;1;1;0;2;ARGENTINA;1975;3;2;99;7;NULL;2;99;99;99;2;99;99;2;1;99;1;1;1;99;2;NULL;2;44;99;99;1;99;NULL;2;2;17;Habitaciones Ama de llaves;17.2.;Mucama       ;;5;6;1;1;99;NULL;4;GUSTO;NULL;3;NULL;300;NULL;NULL;1;1;1;1;NULL;99;3;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;99;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
130;BARRIO HISTORICO;TRABAJO;4;1;EL VIAJERO B&B;14;2;21;1;0;1;1;99; ;4;2;99;7;NULL;2;99;99;99;2;99;99;2;1;99;1;1;1;99;4;NULL;2;44;99;99;1;99;NULL;2;2;12;Habitaciones Recepción;12.2.;Recepcionista       ;;3;1;2;99;2;VENDEDORA;2;99;NULL;5;NULL;NULL;NULL;99;2;3;2;1;8;99;2;4;1;1;1;3;1;1;1;5;3;1;0;1;1;1;1;1;1;0;0;99;1;0;1;1;0;1;1;1;1;1;1;1;1;0;1
131;BARRIO HISTORICO;TRABAJO;4;1;RADISSON COLONIA;75;2;31;1;2;1;1;99; ;3;2;99;7;NULL;2;99;99;99;1;1;99;2;2;3;1;1;1;99;4;NULL;1;44;99;99;1;99;NULL;2;2;17;Habitaciones Ama de llaves;17.2.;Mucama       ;;1;1;1;3;99;NULL;4;GUSTO;NULL;5;NULL;300;NULL;NULL;2;2;2;1;NULL;99;4;2;2;1;1;3;3;1;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
132;BARRIO HISTORICO;TRABAJO;4;1;RADISSON COLONIA;75;2;32;1;0;0;1;99; ;3;2;99;7;NULL;1;34;99;100;2;99;99;2;1;99;1;1;1;99;5;NULL;1;44;99;99;1;99;NULL;2;2;22;Alimentos y bebidas/ Sala-Restaurantes;22.2.;Mozo       ;;1;3;1;8;99;NULL;1;99;NULL;5;NULL;8000;5000;NULL;1;3;2;1;2;99;4;1;2;1;1;5;2;1;2;2;1;1;1;1;0;1;1;1;1;0;0;99;1;99;1;1;1;1;1;1;1;1;0;0;1;1;1
133;BARRIO HISTORICO;TRABAJO;4;1;RADISSON COLONIA;75;2;27;2;0;2;1;99; ;6;2;99;26;UTU COLONIA, GASTRONOMIA Y BAR;1;12;99;40;2;99;99;2;1;99;1;1;1;99;5;NULL;1;44;99;99;1;99;NULL;2;1;22;Alimentos y bebidas/ Sala-Restaurantes;22.8.;Otro       ;Cajero;3;9;1;1;99;NULL;1;99;NULL;4;NULL;NULL;NULL;99;1;3;3;1;2;99;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;99;1;99;1;0;0;0;0;0;1;1;0;0;1;0;1
134;BARRIO HISTORICO;TRABAJO;4;1;RADISSON COLONIA;75;1;27;1;0;0;2;EL SALVADOR;2018;7;1;UNIVERSIDAD DE LA EMPRESA;25;NULL;1;3;99;4;2;99;99;2;1;99;1;1;1;99;5;NULL;1;44;99;99;1;99;NULL;2;1;22;Alimentos y bebidas/ Sala-Restaurantes;22.2.;Mozo       ;;6;1;1;4;99;NULL;1;99;NULL;5;NULL;7000;3000;NULL;2;3;2;2;5;99;2;3;2;3;2;2;1;3;4;3;3;1;1;1;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1
135;BARRIO HISTORICO;TRABAJO;4;1;POSADA DON ANTONIO;38;2;51;1;1;0;1;99; ;3;2;99;7;NULL;NULL;NULL;NULL;NULL;2;99;99;2;1;99;1;1;1;99;5;NULL;1;48;99;99;1;99;NULL;2;2;12;Habitaciones Recepción;12.2.;Recepcionista       ;;5;14;2;99;1;NULL;2;99;NULL;5;NULL;NULL;NULL;99;4;1;1;1;2;99;5;5;2;5;5;5;5;5;5;5;5;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
136;BARRIO HISTOTICO;TRABAJO;4;1;POSADA DON ANTONIO;38;2;46;2;3;1;1;99; ;7;2;99;7;NULL;1;14;99;40;2;99;99;2;1;99;1;1;1;99;2;NULL;1;48;99;99;1;99;NULL;2;1;12;Habitaciones Recepción;12.5.;Supervisor / coordinador de recepción   ;;5;15;2;99;1;NULL;2;99;NULL;8;NULL;NULL;NULL;99;3;4;1;1;7;99;4;5;2;4;5;5;2;5;5;5;5;1;1;0;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1
137;BARRIO HISTORICO;TRABAJO;4;2;RESTAURANTE DOS22;10;1;40;1;3;1;1;99; ;3;2;99;7;NULL;2;99;99;99;2;99;99;2;1;99;1;1;1;99;5;NULL;1;24;4;CUIDA HIJOS;1;99;NULL;2;2;20;Alimentos y bebidas/ Cocina;20.5.;Cocinero       ;;1;2;1;4;99;NULL;2;99;NULL;1;NULL;NULL;NULL;99;1;1;1;1;NULL;99;5;5;5;5;5;5;5;5;5;5;5;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1
138;BARRIO HISTORICO;TRABAJO;4;1;POSADA EL GOBERNADOR;15;2;30;1;0;0;1;99; ;4;2;99;6;IHG COLONIA;1;3;99;176;2;99;99;2;1;99;1;1;1;99;5;NULL;2;32;4;CUBRE LIBRES;1;99;NULL;2;1;12;Habitaciones Recepción;12.2.;Recepcionista       ;;4;3;1;9;99;NULL;1;99;NULL;5;NULL;NULL;NULL;99;3;1;1;1;2;99;1;1;1;1;1;5;3;5;4;4;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1
139;BARRIO HISTORICO;TRABAJO;4;1;POSADA EL GOBERNADOR;15;2;39;1;1;1;1;99; ;3;2;99;7;NULL;1;4;99;58;2;99;99;2;1;99;1;1;1;99;2;NULL;1;44;99;99;1;99;NULL;2;2;17;Habitaciones Ama de llaves;17.2.;Mucama       ;;1;8;2;99;2;EMPLEADA DOMESTICA;3;99;NULL;4;NULL;NULL;NULL;99;3;3;3;3;1;99;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;0;1;0;1;1;1;1
140;BARRIO HISTORICO;TRABAJO;4;2;COLONIA SANDWICH CAFFE SHOP;6;2;39;1;2;0;1;99;2016;4;2;99;7;NULL;2;99;99;99;2;99;99;2;1;99;1;1;1;99;2;NULL;1;44;99;99;1;99;NULL;2;1;22;Alimentos y bebidas/ Sala-Restaurantes;22.8.;Otro;Cajero;1;1;1;2;99;NULL;2;99;NULL;7;NULL;700;NULL;NULL;1;1;1;1;NULL;99;4;5;2;4;1;5;5;5;5;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
141;BARRIO HISTORICO;TRABAJO;4;1;POSADA PLAZA MAYOR;14;2;37;2;0;1;1;99; ;7;2;99;7;NULL;1;1;99;144;2;99;99;2;1;99;1;1;1;99;6;FULL TIME;1;44;99;99;1;99;NULL;2;1;5;Gerencia general - apoyo;5.2;Gerente general      ;;1;2;1;6;99;NULL;2;99;NULL;8;NULL;NULL;NULL;99;2;3;3;1;2;99;1;1;1;1;1;5;3;1;4;3;3;1;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;1;1;0;1;0;1;1
142;BARRIO HISTORICO;TRABAJO;4;1;POSADA PLAZA MAYOR;14;2;42;2;0;0;2;BRASIL;2020;8;2;99;236;GUIA, AZAFATA, SECRETARIA BILINBUE, RILIN;1;2;99;100;2;99;99;2;1;99;1;1;1;99;5;NULL;1;44;99;99;1;99;NULL;2;2;12;Habitaciones Recepción;12.2.;Recepcionista       ;;1;1;1;18;99;NULL;1;99;NULL;7;NULL;360;NULL;NULL;1;1;1;1;NULL;99;1;1;4;4;5;5;2;5;3;4;4;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1
143;BARRIO HISTORICO;TRABAJO;4;1;CHARCO HOTEL;8;1;41;1;1;1;2;BRASIL;2014;8;2;99;236;RECURSOS HUMANOS, ININOVE;2;99;99;99;2;99;99;2;1;99;1;1;1;99;4;NULL;1;48;99;99;1;99;NULL;2;2;12;Habitaciones Recepción;12.2.;Recepcionista       ;;4;1;1;20;99;NULL;1;99;NULL;5;NULL;500;NULL;NULL;1;1;1;1;NULL;99;1;5;3;4;3;5;3;4;4;5;4;1;1;1;1;1;1;1;1;1;1;99;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
144;BARRIO HISTORICO;TRABAJO;4;1;LAS TERRAZAS POSADA;14;1;38;1;0;0;1;99;2011;6;2;99;3;NULL;1;14;99;100;1;2;INFORMATICA;2;1;99;1;1;1;99;2;NULL;1;44;99;99;1;99;NULL;1;1;12;Habitaciones Recepción;12.2.;Recepcionista       ;;1;8;1;12;99;NULL;1;99;NULL;7;NULL;NULL;NULL;99;2;2;1;1;NULL;99;1;1;1;1;1;3;1;4;4;5;2;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1
145;BARRIO HISTORICO;TRABAJO;4;1;HOTEL ESPAÑA;18;2;36;1;4;1;1;99; ;10;1;ITS;7;NULL;2;99;99;99;2;99;99;2;1;99;1;1;1;99;2;NULL;1;44;99;99;1;99;NULL;2;1;12;Habitaciones Recepción;12.2.;Recepcionista       ;;5;4;1;1;99;NULL;2;99;NULL;3;NULL;NULL;NULL;99;3;3;4;1;2;99;1;3;2;1;1;4;1;4;4;2;1;0;1;1;0;1;0;1;1;0;1;0;0;0;1;0;0;1;0;0;0;1;0;1;1;0;0
