Numero control Encuesta;Departamento;Tipo: H o R;Tamano;Sexo;Edad;Es jefe de hogar;Personas que dependen;Cuantos aportan al hog;Lugar nacimiento codigo;Otro pais. Especificar;Ano llego Uruguay ultima vez;Nivel educ formal;Alguno de los estudios que;Especifique si es otro;Realizo cursos rel con cargo;Han sido pagados por;Segunda opcion;Total horas de cursos;Tiene otro trabajo;Sector del otro trab;Especifique sin no es turismo;Tipo contrato;Termino del contrato;Especifique meses/u otro termino;Contrato por empresa para la que hace tarea;Esta en caja;Aporta por 100% salario;Si no en caja: goza benef;Tipo horario;Especifique tipo horario;Criterio dia libre;Horas que trabaja en la semana;Razon empleo es parcial;Especifique razon;Trabaja todos meses del ano;Cual es el motivo prinicpal por el que no trabaja todos los;Otro motivo. Especificar;En este empleo pertenece a un sindicato;Conoce usted los beneficios de la neg colect;Codigo Seccion o depto trabaja;Nombre seccion o depto donde trabaja;Codigo puesto/cargo de contrato;Nombre puesto/cargo de contrato;Realiza tareas diferentes puestos;Antiguedad ANOS;Si no tenia experiencia previa en el ramo..Ramo de donde proviene;Especificar ramo;Cual es la Principal razon trabaja en rubro;Especifique razon estar en rubro;Salario mensual sin propina;Rango sal mens sin propina;Cuanto gana hora/dia;Propina mes/temp alta;Propina mes/temp baja;Estoy activamente buscando otras;El ano que viene voy a  buscar otro trabajo;Voy a cambiar de trabajo a primera oportunidad;Tengo la intencion de renunciar;Motivo principal por el que esta buscando;Me sentiria culpable;Siento una responsabilidad;Si tuviera una oferta;Creo que no podria;Aunque fuera ventajoso;Esta empresa se merece;Seria muy feliz si;Realmente siento los;Esta empresa significa;En esta empresa me;Siento amor por mi empresa;Me gusta la tarea que ;Estoy satisfecho con las posibilidades;Estoy satisfecho con mi trabajo;Mi salario me satisface;Estoy satisfecho con cantidad de horas;Limpieza, iluminacion ventilacion;El entorno fisico y el espacio;Los medios materiales que tengo;En mi empresa tengo satisfactorias oportunidades;Estoy satisfecho con la formacion;La forma en que se lleva a cabo la negociacion;La supervision que ejercen sobre mi;Estoy satisfecho de como mi empresa cumple el convenio;Estoy satisfecho con la estabilidad;Estoy satisfecho con el grado de participacion;Me gusta la forma en que mis superiores juzgan;Me satisface mi capacidad actual;Mi empresa me trata con buena jusicia;Estoy contento con el apoyo;Me satisface mi actual grado;Estoy satisfecho con las relaciones;Estoy satisfecho con los incentivos;Estoy contento con el nivel;Estoy satisfecho con mi jornada;Estoy satisfecho con las normas de seguridad;Satisfaccion Global
65;Montevideo;Hotel;50;Mujer;35;No;2;1;Uruguay;;99;MediaSecundaria(Incompleta);Ninguno;99;No;99;;99;No;99;99;Escrito;Permanente;99;1;Si;1;99;Turno fijo diurno;NULL;1;44;99;99;Si;99;99;No;Si;17;Habitaciones Ama de llaves;17.2.;Mucama       ;Generalmente no;4;99;NULL;No encontre mejor opcion;99;NULL;4;99;NULL;99;Tal vez Si;Tal vez Si;Tal vez Si;Tal vez Si;Mejorara ingresos;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Moderadamente desacuerdo;Moderadamente desacuerdo;Ni decuedo ni desacuerdo;Ni decuedo ni desacuerdo;Moderadamente desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;NULL;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
66;Maldonado;Restaurante;45;Mujer;27;Si;1;0;Uruguay;;99;MediaSecundaria(Incompleta);Ninguno;99;No;99;;99;No;99;99;Escrito;Permanente;99;1;Si;1;99;Turno fijo diurno;NULL;1;44;99;99;Si;99;99;No;Si;22;Alimentos y bebidas/ Sala-Restaurantes;22.2.;Mozo       ;Si, nivel inferior;1;99;NULL;No sabe;99;15000;2;99;31200;18200;Tal vez Si;Tal vez No;DefinitivamenteNo;DefinitivamenteNo;Mejorara ingresos;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Moderadamente de acuerdo;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Moderadamente desacuerdo;Ni decuedo ni desacuerdo;Totalmente desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
67;Montevideo;Restaurante;25;Hombre;22;No;0;0;Uruguay;;99;TecinaSuperior(Incompleta);Ninguno;99;No;99;;99;No;99;99;Escrito;Permanente;99;1;Si;2;99;Horario Cortado;NOCTURNO;1;50;99;99;Si;99;99;No;No;20;Alimentos y bebidas/ Cocina;20.6.;Parrillero       ;Si, todos los niveles;4;Primer Trabajo; ;No encontre mejor opcion;99;25000;6;99;NULL;NULL;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;99;Totalmente de acuerdo;Moderadamente de acuerdo;Ni decuedo ni desacuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Moderadamente de acuerdo;Ni decuedo ni desacuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Moderadamente de acuerdo;Moderadamente de acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;NULL;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;NULL;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
70;Montevideo;Hotel;108;Mujer;25;No;2;1;Uruguay;;99;Universitaria(Incompleta);Ninguno;99;Si;3;;100;No;99;99;Escrito;Permanente;99;1;Si;1;99;Turno fijo diurno;9 A 18;1;45;99;99;Si;99;99;No;Si;8;Contabilidad y finanzas - apoyo;8.1.;Asistente Contabilidad y finanzas    ;Si, mismo nivel;1;Turismo; ;Otro;casualidad;40000;7;99;NULL;99;DefinitivamenteNo;DefinitivamanteSi;Tal vez No;Tal vez No;Trabajo acorde formacion;Moderadamente desacuerdo;Moderadamente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Moderadamente desacuerdo;Ni decuedo ni desacuerdo;Moderadamente de acuerdo;Moderadamente desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;NULL;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo
71;Montevideo;Hotel;207;Mujer;36;No;1;2;Uruguay;;99;TenicaSuperior(Completa);Ninguno;99;No;99;;99;No;99;99;Escrito;Permanente;99;1;Si;1;99;Turno fijo diurno;9 A 18;1;44;99;99;Si;99;99;No;No sabe, no contesta;8;Contabilidad y finanzas - apoyo;8.3.;Administrativo contable /financiero     ;Si, mismo nivel;3;99;NULL;No sabe;99;NULL;8;99;NULL;99;Tal vez No;Tal vez Si;Tal vez Si;Tal vez No;Teme quedar sin empleo0;Ni decuedo ni desacuerdo;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente de acuerdo;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Totalmente de acuerdo;Totalmente desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;NULL;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
73;Maldonado;Restaurante;35;Mujer;25;No;0;0;Uruguay;;99;MediaCompleta;Otro.Especificar;UTU GASTRONOMIA;Si;3;4;NULL;No;99;99;Escrito;A termino zafra;3;1;Si;1;99;Turno fijo diurno;NULL;1;56;99;99;No;2;99;No;No sabe, no contesta;20;Alimentos y bebidas/ Sala-Restaurantes;20.8.;Pastelero       ;Generalmente no;5;99;NULL;Siempre quise;99;NULL;8;99;NULL;NULL;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;99;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
75;Montevideo;Hotel;42;Hombre;35;Si;0;1;Uruguay;;2007;TenicaSuperior(Completa);Otro.Especificar;UTU HOTELERIA;Si;2;3;6;No;99;99;Escrito;Permanente;99;1;Si;1;99;Turno fijo diurno;NULL;1;44;99;99;Si;99;99;No;Si;11;Habitaciones Conserjeria;11.2.;Conserje       ;Si, todos los niveles;4;99;NULL;Siempre quise;99;34000;7;99;NULL;99;DefinitivamenteNo;Tal vez Si;DefinitivamenteNo;DefinitivamenteNo;99;Moderadamente de acuerdo;Moderadamente de acuerdo;Ni decuedo ni desacuerdo;Ni decuedo ni desacuerdo;Moderadamente desacuerdo;Ni decuedo ni desacuerdo;Moderadamente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Moderadamente de acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
76;Montevideo;Hotel;136;Mujer;66;Si;0;0;Uruguay;;99;TecinaSuperior(Incompleta);Ninguno;99;No;99;;99;No;99;99;Escrito;Permanente;99;2;Si;1;99;Turno fijo diurno;NULL;1;48;99;99;Si;99;99;No;No;1;Mantenimiento;1.1.;Auxiliar de mantenimiento     ;Generalmente no;20;99;NULL;Siempre quise;99;21000;4;99;NULL;99;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;99;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
77;Montevideo;Hotel;72;Mujer;25;Si;2;1;Uruguay;;99;Universitaria(Incompleta);Ninguno;99;Si;3;;100;No;99;99;Escrito;Permanente;99;1;Si;1;99;Turno fijo diurno;NULL;1;9;4;NULL;Si;99;99;No;No sabe, no contesta;8;Contabilidad y finanzas - apoyo;8.4.;Auditor interno      ;Si, de nivel superior;6;Primer Trabajo; ;No encontre mejor opcion;99;32000;7;1200;NULL;99;Tal vez Si;Tal vez Si;Tal vez No;Tal vez Si;Tabajar menos horas;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente de acuerdo;Totalmente desacuerdo;Moderadamente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Moderadamente de acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
78;Montevideo;Hotel;50;Hombre;34;Si;1;1;Uruguay;;99;MediaCompleta;Ninguno;ESCUELA MAPA;Si;3;;100;No;99;99;Escrito;Permanente;99;1;Si;1;99;Turno rotativo exceoto noche;NULL;2;48;99;99;Si;99;99;No;Si;12;Habitaciones Recepcion;12.2.;Recepcionista       ;Si, nivel inferior;3;99;NULL;No encontre mejor opcion;99;22000;4;99;15000;10000;Tal vez Si;DefinitivamanteSi;Tal vez No;Tal vez No;Tener tiempo estudio/actividades;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Moderadamente de acuerdo;Totalmente desacuerdo;Moderadamente desacuerdo;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Totalmente desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo
79;Montevideo;Hotel;11;Mujer;27;Si;0;1;Uruguay;;99;Universitaria(Incompleta);Ninguno;99;No;99;;99;No;99;99;Escrito;Permanente;99;1;Si;1;99;NULL;NULL;1;44;99;99;Si;99;99;No;No;12;Habitaciones Recepcion;12.2.;Recepcionista       ;Si, todos los niveles;1;99;NULL;Otro;EXPERIENCIA;22000;4;99;NULL;NULL;Tal vez Si;DefinitivamanteSi;Tal vez Si;Tal vez No;Mejorara ingresos;Moderadamente de acuerdo;Moderadamente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Moderadamente desacuerdo;Ni decuedo ni desacuerdo;Moderadamente desacuerdo;Ni decuedo ni desacuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Moderadamente de acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo
80;Montevideo;Hotel;30;Mujer;52;Si;4;1;Uruguay;;99;BasicaCompleta;Ninguno;99;Si;4;;100;No;99;99;Escrito;Permanente;99;1;Si;1;99;Turno fijo diurno;NULL;1;44;99;99;Si;99;99;No;No sabe, no contesta;17;Habitaciones Ama de llaves;17.2.;Mucama       ;Generalmente no;12;99;NULL;Siempre quise;99;30000;7;99;NULL;99;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;99;Totalmente de acuerdo;Totalmente de acuerdo;Ni decuedo ni desacuerdo;Totalmente de acuerdo;Moderadamente desacuerdo;Totalmente de acuerdo;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Moderadamente de acuerdo;Totalmente desacuerdo;Totalmente desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;NULL;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
81;Montevideo;Hotel;136;Hombre;38;Si;0;0;Uruguay;;2001;TenicaSuperior(Completa);Otro.Especificar;99;Si;1;;6;No;99;99;Escrito;Permanente;99;1;Si;1;99;Turno fijo diurno;NULL;1;48;99;99;Si;99;99;No;No;1;Mantenimiento;1.1.;Auxiliar de mantenimiento     ;Si, todos los niveles;1;99;NULL;Otro;NECESIDAD;30000;7;99;NULL;99;Tal vez No;Tal vez No;Tal vez No;Tal vez No;99;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Moderadamente de acuerdo;Ni decuedo ni desacuerdo;Ni decuedo ni desacuerdo;Ni decuedo ni desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
82;Montevideo;Hotel;6;Mujer;29;No;0;2;Uruguay;;99;TenicaSuperior(Completa);Ninguno;99;No;99;;99;No;99;99;Escrito;Permanente;99;1;Si;1;99;Turno fijo diurno;NULL;1;40;99;99;Si;99;99;No;No;12;Habitaciones Recepcion;12.2.;Recepcionista       ;Si, todos los niveles;5;99;NULL;Siempre quise;99;20000;4;1000;NULL;99;Tal vez No;DefinitivamanteSi;DefinitivamenteNo;Tal vez No;Mejorara ingresos;Totalmente de acuerdo;Moderadamente de acuerdo;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Ni decuedo ni desacuerdo;Totalmente de acuerdo;Ni decuedo ni desacuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
83;Montevideo;Hotel;59;Hombre;47;Si;2;0;Uruguay;;99;MediaCompleta;Ninguno;99;No;99;;99;Si;Otro;DEPORTIVO;Verbal;Permanente;99;1;Si;1;99;Turno rotativo con noche;NULL;1;44;99;99;Si;99;99;No;No;12;Habitaciones Recepcion;12.2.;Recepcionista       ;Generalmente no;8;Otro;DEPORTIVO/PROF. EDUCACION FISICA;Otro;ESTA A GUSTO;20000;4;99;NULL;99;Tal vez No;Tal vez No;Tal vez No;Tal vez No;99;Ni decuedo ni desacuerdo;Moderadamente de acuerdo;Moderadamente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo
84;Montevideo;Hotel;59;Mujer;26;No;0;1;OtroPais;Venezuela;2019;TenicaSuperior(Completa);Ninguno;99;No;99;;99;No;99;99;Escrito;Permanente;99;1;Si;1;99;Turno fijo diurno;NULL;1;44;99;99;Si;99;99;No;No;17;Habitaciones Ama de llaves;17.2.;Mucama       ;Si, mismo nivel;1;Otro;NULL;No encontre mejor opcion;99;19500;4;99;NULL;99;Tal vez Si;Tal vez No;Tal vez No;DefinitivamenteNo;99;Totalmente desacuerdo;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Moderadamente de acuerdo;Totalmente desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;NULL;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
86;Montevideo;Hotel;30;Hombre;31;Si;0;0;Uruguay;;99;Universitaria(Incompleta);Ninguno;99;No;99;;99;NULL;NULL;NULL;Escrito;Permanente;99;1;Si;1;99;Turno rotativo con noche;NULL;1;44;99;99;Si;99;99;No;No;12;Habitaciones Recepcion;12.2.;Recepcionista       ;Generalmente no;1;99;NULL;Siempre quise;99;27800;6;99;4000;2000;DefinitivamenteNo;Tal vez No;DefinitivamenteNo;DefinitivamenteNo;99;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Moderadamente de acuerdo;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Ni decuedo ni desacuerdo;Moderadamente de acuerdo;Moderadamente de acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo
87;Montevideo;Hotel;42;Hombre;29;Si;2;1;Uruguay;;99;MediaSecundaria(Incompleta);Otro.Especificar;HOTELERIA TECNICATURA ITHU;Si;2;;100;No;99;99;Escrito;Permanente;99;1;Si;1;99;Turno rotativo con noche;NULL;1;44;99;99;Si;99;99;No;Si;12;Habitaciones Recepcion;12.6.;Jefe de recepcion     ;Si, todos los niveles;3;Turismo; ;No encontre mejor opcion;99;29000;7;99;4000;NULL;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;99;Moderadamente desacuerdo;Moderadamente de acuerdo;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Moderadamente desacuerdo;Totalmente de acuerdo;Ni decuedo ni desacuerdo;Ni decuedo ni desacuerdo;Moderadamente de acuerdo;Ni decuedo ni desacuerdo;Moderadamente desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
88;Montevideo;Hotel;26;Mujer;34;Si;0;1;Uruguay;;99;Universitaria(Incompleta);Otro.Especificar;TECNICO HOTELERO;No;99;;99;No;99;99;Escrito;Permanente;99;1;Si;1;99;Turno fijo diurno;NULL;1;44;99;99;Si;99;99;No;Si;8;Contabilidad y finanzas - apoyo;8.5.;Jefe de Contabilidad y Finanzas   ;Generalmente no;2;99;NULL;Siempre quise;99;NULL;8;99;NULL;99;DefinitivamenteNo;Tal vez Si;Tal vez Si;Tal vez Si;Teme quedar sin empleo;Moderadamente de acuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente desacuerdo;Moderadamente de acuerdo;Moderadamente de acuerdo;Totalmente desacuerdo;Totalmente desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;NULL;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
89;Montevideo;Hotel;26;Mujer;31;Si;0;1;Uruguay;;99;Universitaria(Incompleta);Otro.Especificar;RELACIONES LABORALES;No;99;;99;No;99;99;Escrito;Permanente;99;1;Si;1;99;Turno fijo diurno;NULL;1;44;99;99;Si;99;99;No;Si;17;Habitaciones Ama de llaves;17.4.;Coordinador de ama de llaves   ;Si, de nivel superior;1;Otro;CULTURA;NULL;NULL;NULL;8;99;NULL;99;DefinitivamanteSi;Tal vez Si;Tal vez Si;Tal vez Si;Teme quedar sin empleo;Moderadamente de acuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente de acuerdo;Totalmente desacuerdo;Moderadamente de acuerdo;Ni decuedo ni desacuerdo;Moderadamente desacuerdo;Moderadamente desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;NULL;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
90;Maldonado;Hotel;294;Hombre;27;No;0;1;Uruguay;;99;Universitaria(Completa);Otro.Especificar;COCTELERIA;Si;3;;40;Si;Otro;LABORATORIO DENTAL;Escrito;A termino zafra;3;1;Si;1;99;Turno rotativo con noche;NULL;2;48;99;99;Si;99;99;No;No sabe, no contesta;19;Alimentos y bebidas/Bar;19.2.;Barman / bartender     ;Si, mismo nivel;2;99;NULL;Otro;PASION ;25000;5;99;35000;6500;Tal vez Si;Tal vez No;Tal vez No;DefinitivamenteNo;Teme quedar sin empleo;Totalmente de acuerdo;Totalmente de acuerdo;Moderadamente de acuerdo;Ni decuedo ni desacuerdo;Moderadamente desacuerdo;Ni decuedo ni desacuerdo;Moderadamente de acuerdo;Ni decuedo ni desacuerdo;Moderadamente de acuerdo;Moderadamente de acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo
